event_index,time_s,peak_frequency_khz,peak_magnitude
777132,155.4264,160,8.06150799835266
777207,155.4414,205,4.20059182517628
777208,155.4416,160,17.1485184095803
777313,155.4626,225,3.97486630910782
777421,155.4842,230,37.9784458157615
777422,155.4844,180,17.2510827947923
777448,155.4896,160,8.56862482926088
777536,155.5072,225,7.52581838289675
777545,155.509,165,3.99999115456163
777546,155.5092,180,6.89124009787064
777593,155.5186,230,10.2660787668141
777618,155.5236,230,8.55475977737331
777671,155.5342,225,77.6545845214305
777824,155.5648,225,5.78958799507653
777883,155.5766,230,42.176419340538
777884,155.5768,180,7.78254896452494
777898,155.5796,165,325.114252735352
777899,155.5798,160,190.841299067743
777900,155.58,160,59.2707883156128
777901,155.5802,160,17.2076653761557
777914,155.5828,165,9.06286133131697
777930,155.586,220,9.39035392008706
777931,155.5862,225,11.0534255202596
778012,155.6024,165,21.2000222971386
778123,155.6246,160,5.87199377527681
778140,155.628,165,26.3994669005657
778156,155.6312,230,8.75154020246341
778543,155.7086,165,25.3063895424914
778588,155.7176,165,9.41551212853639
778660,155.732,280,6.30682527398988
778871,155.7742,180,7.40650083193046
784263,156.8526,280,8.99598855644249
784439,156.8878,165,28.5296915031403
784729,156.9458,230,10.3663833614739
785248,157.0496,160,7.9517019228611
791092,158.2184,175,12.3949741140054
792697,158.5394,160,8.08077192016328
793312,158.6624,160,13.2841970671081
793415,158.683,165,96.8102561557808
793416,158.6832,155,57.2920829704531
793417,158.6834,155,8.6364658543782
793477,158.6954,160,11.6428059758001
793997,158.7994,280,5.96679934726948
794601,158.9202,225,5.90740988499126
797336,159.4672,160,17.8165021153918
797588,159.5176,155,7.93811754522047
798475,159.695,170,51.8861022827775
798476,159.6952,175,34.6571870539524
798736,159.7472,175,13.4665660783364
798879,159.7758,165,13.5705276893246
798940,159.788,175,4.97186044186019
799019,159.8038,160,38.2233369624984
799097,159.8194,165,10.7385753068032
800415,160.083,165,11.2059580301071
800439,160.0878,175,6.52002278733167
800919,160.1838,195,3.77540727895929
800920,160.184,180,12.7861498226029
800957,160.1914,180,8.90478314490569
801208,160.2416,180,6.3115011859391
801396,160.2792,160,11.0107579769622
801785,160.357,160,14.7081014965633
801964,160.3928,160,6.95205622807008
802632,160.5264,160,18.1439030052967
802682,160.5364,160,7.83263820294495
803296,160.6592,160,9.09035202773607
803376,160.6752,215,5.82789481711685
803396,160.6792,160,8.10844600554109
803406,160.6812,160,21.2184107694026
803408,160.6816,160,14.9283564003136
803424,160.6848,165,16.5932547293328
803425,160.685,160,19.3783737150961
803692,160.7384,280,4.73730383383703
803877,160.7754,160,12.9939713027194
804560,160.912,175,16.4946950846842
804606,160.9212,160,18.3919162736425
804679,160.9358,230,6.64662569606982
804699,160.9398,340,7.21435770608703
804946,160.9892,230,14.4691476326735
804984,160.9968,160,9.21451708036087
804985,160.997,160,10.3657408525868
805241,161.0482,160,40.25407481587
805242,161.0484,180,14.4146739927789
805366,161.0732,200,4.68850701140536
805367,161.0734,230,8.37057662536477
805438,161.0876,160,8.04984792661062
805661,161.1322,160,11.2996509389515
805675,161.135,160,11.4713416946471
805760,161.152,230,7.83841134331232
805822,161.1644,160,12.2419124334044
805928,161.1856,160,6.78106718736548
805951,161.1902,180,7.42278082177433
805954,161.1908,180,11.1810658197862
805957,161.1914,160,13.0091383568259
805958,161.1916,160,17.0534955251286
805959,161.1918,160,567.4141388793
805960,161.192,160,336.014292614574
805961,161.1922,160,40.4090271082405
805962,161.1924,175,14.3771632692221
805963,161.1926,175,10.2383046362326
805972,161.1944,180,8.88212184746181
805979,161.1958,160,7.03935546303261
805980,161.196,160,12.3025793276087
805989,161.1978,160,8.57140723226656
805990,161.198,170,18.2292087058391
805991,161.1982,160,73.3794167814746
805992,161.1984,160,7.91027339191498
805998,161.1996,160,37.8507905356276
805999,161.1998,160,12.9990464045838
806003,161.2006,155,75.324223288854
806004,161.2008,180,55.3537293073879
806005,161.201,160,7.5022158961325
806488,161.2976,230,6.68091814706989
806578,161.3156,230,11.9063681753118
806923,161.3846,225,4.11108358805294
806924,161.3848,175,32.6283995369207
806925,161.385,175,64.4530164888247
807007,161.4014,175,7.30469943323951
807293,161.4586,175,6.00975265566887
807490,161.498,165,8.28007906556221
807563,161.5126,165,5.84500873273019
807896,161.5792,160,8.8079145498756
815965,163.193,180,12.5912106727684
815977,163.1954,175,10.8812156627339
816224,163.2448,155,89.486784908433
816225,163.245,165,136.050216679143
816226,163.2452,165,8.99302160474936
