event_index,time_s,peak_frequency_khz,peak_magnitude
1181542,236.3084,165,18.6795279310497
1182279,236.4558,175,3.08310782257871
1182280,236.456,165,24.5134746260441
1182546,236.5092,165,28.9001943200009
1182553,236.5106,165,47.1708324827896
1182647,236.5294,165,8.48978551619616
1182831,236.5662,240,6.92150494955527
1182858,236.5716,165,11.1897568567797
1182902,236.5804,300,9.78909763002377
1182939,236.5878,165,9.38281075649687
1182941,236.5882,160,12.6840186264476
1182942,236.5884,165,14.6700966549215
1183000,236.6,165,24.1901604327106
1183126,236.6252,165,7.10943567390552
1183744,236.7488,165,17.4723649627119
1183745,236.749,165,16.1605982769219
1183747,236.7494,165,14.5715237648775
1183748,236.7496,165,6.77832139515224
1183749,236.7498,160,8.55322499386005
1183755,236.751,165,9.31414137375756
1183762,236.7524,165,10.5070759320584
1183807,236.7614,165,43.9405210370991
1183808,236.7616,165,15.4957286890851
1183822,236.7644,165,8.50270461030557
1183837,236.7674,165,12.908766478825
1183862,236.7724,170,7.40966909635754
1183864,236.7728,165,10.7925676764003
1183876,236.7752,165,53.5414199511313
1183877,236.7754,165,10.5726738746092
1184360,236.872,165,16.4030170606693
1185005,237.001,145,6.00754514685605
1185006,237.0012,175,7.41143887798199
1185220,237.044,165,8.95818004148626
1185288,237.0576,165,20.46590346425
1185355,237.071,155,6.03926416218685
1185468,237.0936,165,10.3889487137057
1185632,237.1264,165,82.3177392698949
1185633,237.1266,165,19.8401015979821
1185924,237.1848,165,13.7669432974782
1185972,237.1944,445,15.4441212583133
1185973,237.1946,305,367.703527865511
1185974,237.1948,165,211.780287046301
1185975,237.195,170,635.596477467883
1185976,237.1952,180,468.977201009334
1185977,237.1954,180,276.953378239839
1185978,237.1956,140,123.054874232951
1185979,237.1958,140,63.8832983353711
1185980,237.196,165,36.8103452639019
1185981,237.1962,165,16.1934400907173
1185982,237.1964,165,9.56785561746009
1185983,237.1966,175,20.5426580665077
1185984,237.1968,165,23.0970615194681
1185986,237.1972,165,8.92527889828497
1185987,237.1974,165,13.9720991044094
1186080,237.216,170,6.72425612612841
1186176,237.2352,165,11.7824136152878
1186178,237.2356,165,45.6590249096337
1186211,237.2422,165,11.676686644057
1186215,237.243,165,15.7931126303544
1186216,237.2432,165,10.5370792916508
1186225,237.245,165,6.4462816348085
1186717,237.3434,170,13.2532423230691
1186747,237.3494,165,12.6209103703775
1186794,237.3588,165,15.6971167604383
1186795,237.359,165,12.519069538553
1186897,237.3794,165,10.0837186603776
1186938,237.3876,165,351.11103847649
1186939,237.3878,165,62.291481805566
1186940,237.388,170,7.56723777820234
1186943,237.3886,165,22.878579129893
1187032,237.4064,165,14.7372380182721
1187040,237.408,165,129.582132746147
1187041,237.4082,165,33.4805819589071
1187046,237.4092,165,285.422319665427
1187047,237.4094,165,27.7336614935589
1187048,237.4096,165,33.0532647009266
1187077,237.4154,165,17.1788356196815
1187104,237.4208,165,17.3844973340838
1187126,237.4252,485,8.97470493584685
1187127,237.4254,165,47.8985190790629
1187884,237.5768,240,4.1311113922962
1187887,237.5774,165,11.1264843193331
1188008,237.6016,165,9.64446442847752
1188041,237.6082,165,13.436133474968
1188667,237.7334,345,79.878668091257
1188668,237.7336,175,13.3140099854598
1188984,237.7968,465,20.838020145074
1189542,237.9084,165,15.3175423580041
1189543,237.9086,165,16.6717658537913
1189983,237.9966,165,8.25672801755934
1190163,238.0326,165,7.28150768470331
1190275,238.055,165,9.58687870184722
1190298,238.0596,160,8.09735548222588
1190600,238.12,165,14.9408838865753
1191160,238.232,165,8.80205007178049
1191161,238.2322,165,10.2339343792587
1191168,238.2336,165,15.0381037175869
1191309,238.2618,165,10.5375484527624
1191464,238.2928,165,21.35265159825
1191512,238.3024,165,24.6591853380158
1191513,238.3026,165,11.7995881938853
1192156,238.4312,320,50.6969772278458
1192157,238.4314,165,182.144656182731
1192158,238.4316,165,54.5513578623224
1192159,238.4318,165,17.0538189109273
1192724,238.5448,165,8.0714614794913
1193564,238.7128,85,6.89719798543712
1193810,238.762,165,9.38024716544957
1194179,238.8358,165,8.14634469154949
1194775,238.955,165,13.2865606565786
1194776,238.9552,165,18.3661411681958
1194782,238.9564,165,59.2159047430346
1194783,238.9566,165,52.3256723694988
1194784,238.9568,165,30.9547653569289
1194785,238.957,165,10.9862902561966
1195118,239.0236,300,5.01951822550479
